provider,DRG_CD,_TYPE_,_FREQ_,ip_type_sum,n_claims,pb_type_sum,sn_type_sum,proc227_Sum,proc232_Sum,proc34_Sum,proc48_Sum,,,,,,,,,,
50396,62,3,1,1,1,24,0,27,0,0,0,,,,,,,,,,
50424,62,3,1,1,1,19,0,3,0,0,0,,,,,,,,,,
50441,62,3,1,1,0,24,0,18,0,0,0,,,,,,,,,,
50444,62,3,2,1,1,40,0,7,0,0,0,,,,,,,,,,
50454,62,3,2,0,1,38,0,11,0,0,0,,,,,,,,,,
50464,62,3,3,1,1,29,0,10,0,0,0,,,,,,,,,,
50488,62,3,3,1,0,29,0,0,0,0,0,,,,,,,,,,
50496,62,3,2,1,0,40,0,0,0,0,0,,,,,,,,,,
50498,62,3,1,0,1,12,0,19,0,0,0,,,,,,,,,,
50503,62,3,2,0,1,21,0,15,0,0,0,,,,,,,,,,
50506,62,3,2,1,0,32,0,9,0,0,0,,,,,,,,,,
50523,62,3,1,1,1,37,0,,,,,,,,,,,,,,
50549,62,3,2,0,0,9,1,14.5,0,0,0,,,,,,,,,,
50551,62,3,2,0,1,27,0,25,0,0,0,,,,,,,,,,
50567,62,3,2,1,1,34,0,19.5,0,0,0,,,,,,,,,,
50570,62,3,1,0,1,14,0,7,0,0,0,,,,,,,,,,
50603,62,3,1,1,0,40,0,32,0,0,0,,,,,,,,,,
50604,62,3,1,1,0,13,0,6,0,0,0,,,,,,,,,,
50625,62,3,1,0,1,14,0,0,0,0,0,,,,,,,,,,
50636,62,3,1,1,1,46,0,20,0,0,0,,,,,,,,,,
50674,62,3,1,1,0,32,0,5,0,0,0,,,,,,,,,,
50678,62,3,1,1,1,29,0,14,0,0,0,,,,,,,,,,
50710,62,3,1,0,0,18,0,2,0,0,0,,,,,,,,,,
